Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,352,15:35:55.928,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,353,15:35:55.932,  E   ,18FEF704,8,FF FF FF FF 14 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,354,15:35:55.936,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,355,15:35:55.940,  E   ,18FFF403,8,2A 00 00 00 00 00 00 2A,*......*
USB-to-CAN V2 compact  CAN-1,356,15:35:55.943,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,357,15:35:55.944,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,358,15:35:55.945,  E   ,18FFF003,8,00 00 00 00 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,359,15:35:55.948,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,360,15:35:55.950,  E   ,18FFF103,8,00 00 00 00 00 00 00 FF,........
USB-to-CAN V2 compact  CAN-1,361,15:35:55.952,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,362,15:35:55.955,  E   ,18FEF803,8,FF FF FF FF C0 27 FF FF,.....'..
USB-to-CAN V2 compact  CAN-1,363,15:35:55.956,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,364,15:35:55.960,  E   ,18F00400,8,00 7D 7D 00 00 07 00 7D,.}}....}
USB-to-CAN V2 compact  CAN-1,365,15:35:55.968,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,366,15:35:55.970,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,367,15:35:55.971,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
